Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2009/11/06,atl,cha,83,103,crawfja01,johnsjo02,willima02,horfoal01,smithjo03,evansma01,teaguje01,bibbymi01,wallage01,diawbo01,bellra01,chandty01,augusdj01,feltora01,murraro01,mohamna01,2058,1876,1816,1626,1427,1363,1203,1188,2161,1891,1833,1825,1453,1427,1069,916
2009/11/06,lac,gsw,118,90,gordoer01,butlera01,cambyma01,davisba01,kamanch01,telfase01,thornal01,davisri01,morroan01,azubuke01,ellismo01,randoan01,jacksst02,curryst01,mooremi01,maggeco01,2158,1904,1793,1787,1680,1175,1087,1015,2225,1978,1958,1768,1733,1292,1112,1092
2009/11/06,okc,hou,94,105,duranke01,westbru01,greenje02,sefolth01,collini01,krstine01,ollieke01,thomaet01,arizatr01,battish01,scolalu01,brookaa01,landrca01,hayesch01,budinch01,lowryky01,2618,2455,1948,1820,1298,1212,829,709,2179,2072,1911,1906,1798,1633,1296,1187
2009/11/06,was,ind,86,102,butleca01,haywobr01,arenagi01,foyera01,jamesmi01,stevede01,youngni01,obertfa01,jonesda02,fordtj01,grangda01,watsoea01,hibbero01,jonesso01,rushbr01,hansbty01,2181,2129,2105,2057,1323,938,903,663,2422,2401,2180,1920,1672,1208,888,829
2009/11/06,mem,lal,98,114,gayru01,randoza01,mayooj01,gasolma01,conlemi01,iversal01,carrode01,youngsa01,artesro01,bryanko01,mbengdj01,odomla01,fishede01,poweljo01,farmajo01,waltolu01,2653,2276,2196,1966,1606,1280,1185,708,2223,2019,1779,1750,1454,1409,1276,1159
2009/11/06,den,mia,88,96,anthoca01,billuch01,hilarne01,afflaar01,lawsoty01,anderch01,cartean01,martike01,wadedw01,richaqu01,onealje01,chalmma01,beaslmi01,hasleud01,arroyca01,anthojo01,2219,1851,1799,1737,1419,1275,1143,697,2462,2300,2065,2025,1869,1803,855,603
2009/11/06,mil,min,87,72,bellch01,bogutan01,delfica01,warriha01,jennibr01,ridnolu01,meeksjo01,mbahalu01,breweco01,jeffeal01,flynnjo01,gomesry01,pecheol01,holliry01,pavloal01,sessira01,1727,1674,1654,1644,1640,1353,1154,1061,2228,2123,1982,1672,1477,1198,1035,898
2009/11/06,tor,noh,107,90,bargnan01,caldejo01,boshch01,turkohe01,jackja01,wrighan01,johnsam01,derozde01,paulch01,westda01,okafoem01,brownbo02,stojape01,wrighju01,armsthi01,petermo01,2063,1996,1822,1717,1486,1378,1264,1083,2152,2033,1827,1600,1485,1425,1053,753
2009/11/06,cle,nyk,100,91,jamesle01,varejan01,willima01,ilgauzy01,parkean01,westde01,onealsh01,hicksjj01,duhonch01,hughela01,leeda02,gallida01,chandwi01,harrial01,jeffrja01,douglto01,2137,2070,1931,1459,1449,1343,1130,809,2357,2207,2113,1916,1891,1496,967,881
2009/11/06,det,orl,103,110,gordobe01,stuckro01,bynumwi01,villach01,jerebjo01,maxieja01,dayeau01,wallabe01,howardw01,barnema02,nelsoja01,pietrmi01,redicjj01,bassbr01,willija02,anderry01,2472,2187,1886,1800,1357,1283,1106,1044,2309,2113,1870,1850,1774,1368,1228,1121
2009/11/06,njn,phi,94,97,hassetr01,lopezbr01,alstora01,willite01,leeco01,najered01,simmobo01,boonejo01,willilo02,iguodan01,dalemsa01,youngth01,greenwi01,kaponja01,brandel01,speigma01,2742,2621,2419,1847,1344,1306,1107,1014,2295,2285,1768,1666,1356,1189,1118,1067
2009/11/06,sas,por,84,96,jefferi01,duncati01,hillge01,ginobma01,boganke01,masonro01,bonnema01,parketo01,blakest01,roybr01,aldrila01,millean02,odengr01,outlatr01,przybjo01,webstma02,2187,2127,1949,1679,1449,1363,758,685,2289,2174,2036,1999,1509,1412,1093,788
2009/11/07,den,atl,100,125,anthoca01,billuch01,hilarne01,afflaar01,lawsoty01,anderch01,grahajo01,balkmre01,crawfja01,smithjo03,horfoal01,johnsjo02,willima02,bibbymi01,evansma01,teaguje01,2323,2268,2267,1927,1617,1498,1079,647,2269,2117,2105,2050,1382,1213,1032,964
2009/11/07,cha,chi,90,93,wallage01,diawbo01,feltora01,bellra01,chandty01,radmavl01,murraro01,augusdj01,denglu01,salmojo01,noahjo01,hinriki01,rosede01,gibsota01,millebr01,johnsja01,2712,2406,2205,2025,1683,1240,855,675,2832,2555,2437,1972,1799,1156,1113,296
